Paises;TotalMuertes;TotalPoblacion;%TotalMuerte;hospital_beds_per_thousand;life_expectancy;human_development_index;%PIB
Holy_See;0;815;0.00000;0.0;0.0;0.0;0.0
Falkland_Islands_ (Malvinas) ;0;3372;0.00000;0.0;81.44;0.0;0.0
Montserrat;1;4991;0.02004;0.0;74.16;0.0;0.0
Anguilla;0;14872;0.00000;0.0;81.88;0.0;0.0
Bonaire. Saint Eustatius and Saba;3;25983;0.01155;0.0;77.79;0.0;0.0
British_Virgin_Islands ;1;30033;0.00333;0.0;0.0;0.0;0.0
Monaco;2;33085;0.00605;13.8;86.75;0.0;1.37
Gibraltar;5;33706;0.01483;0.0;79.93;0.0;0.0
San_Marino ;51;34453;0.14803;3.8;84.97;0.0;6.0
Islas_Turks_and_Caicos ;6;38194;0.01571;0.0;80.22;0.0;0.0
Liechtenstein;18;38378;0.04690;2397.0;82.49;0.919;0.0
Sint_Maarten ;26;42389;0.06134;0.0;78.95;0.0;0.0
Faroe_Islands;0;48677;0.00000;0.0;80.67;0.0;0.0
Saint_Kitts_and_Nevis ;0;52834;0.00000;2.3;76.23;0.779;2.47
Greenland;0;56660;0.00000;0.0;71.7;0.0;0.0
Northern_Mariana_Islands;2;57213;0.00350;0.0;0.0;0.0;0.0
Marshall_Islands ;0;58791;0.00000;2.7;73.7;0.704;7.62
Bermuda;9;62508;0.01440;0.0;82.59;0.0;0.0
Guernsey;13;64468;0.02017;0.0;0.0;0.0;0.0
Cayman_Islands ;2;64948;0.00308;0.0;83.92;0.0;0.0
Dominica;0;71808;0.00000;3.8;75.0;0.742;4.27
Andorra;79;76177;0.10371;0.0;83.73;0.868;4.56
Isle_of_Man ;25;84589;0.02955;0.0;81.4;0.0;0.0
Antigua_y_Barbuda ;4;97115;0.00412;3.8;77.02;0.778;2.9
Seychelles;0;97741;0.00000;3.6;73.4;0.796;3.81
United_States_Virgin_Islands;23;104579;0.02199;0.0;79.07;0.0;0.0
Aruba;46;106310;0.04327;0.0;76.29;0.0;0.0
Jersey;32;107796;0.02969;0.0;0.0;0.0;0.0
