EXP;IMP;CONTINENTE;REGION;PAIS
4786,401337;4393,208819;AMÉRICA;NORTE AMERICA;Estados Unidos
118,9295293;302,0170893;AMÉRICA;NORTE AMERICA;Canadá
147,8806971;108,1120131;AMÉRICA;CENTRO AMERICA;Mercado Común Centroamericano
222,5125705;254,7522289;AMÉRICA;SUDAMERICA;Argentina
96,32286536;661,3253278;AMÉRICA;SUDAMERICA;Brasil
808,8223622;483,4388569;AMÉRICA;SUDAMERICA;Chile
90,85655077;560,4632112;AMÉRICA;SUDAMERICA;México
2431,352773;772,157452;AMÉRICA;SUDAMERICA;Panamá
21,25224258;4,069761359;AMÉRICA;SUDAMERICA;Venezuela
37,77340298;119,7924536;AMÉRICA;SUDAMERICA;Otros Países
29,38551047;218,4985926;AMÉRICA;SUDAMERICA;Bolivia
789,2999544;1530,300069;AMÉRICA;SUDAMERICA;Colombia
419,1714429;670,844642;AMÉRICA;SUDAMERICA;Perú
150,8854853;117,1118348;AMÉRICA;OTROS;Resto América
398,9280326;478,8224079;EUROPA;UNION EUROPEA;Alemania
221,2390195;292,6084294;EUROPA;UNION EUROPEA;Bélgica
534,8622743;467,7161646;EUROPA;UNION EUROPEA;España
272,1214149;113,0566862;EUROPA;UNION EUROPEA;Francia
565,6147579;333,1915719;EUROPA;UNION EUROPEA;Holanda
512,5511865;211,4647994;EUROPA;UNION EUROPEA;Italia
795,3622339;337,1667295;EUROPA;UNION EUROPEA;Otros Países
229,4;154,5758118;EUROPA;REINO UNIDO;Reino Unido
169,4617924;89,34544492;EUROPA;ASOC. EUROPEA DE LIBRE COMERCIO;Asoc. Europea De Libre Comercio
1067,005859;116,7732959;EUROPA;RESTO EUROPA;Resto Europa
84,79054786;313,4327015;ASIA;ASIA;Corea Del Sur
46,10196589;123,8758317;ASIA;ASIA;Hong Kong
339,5202465;295,5432377;ASIA;ASIA;Japón
3193,705414;3171,435404;ASIA;ASIA;Rep. Popular China
16,7086655;102,2320806;ASIA;ASIA;Taiwán
1321,834736;785,6441302;ASIA;ASIA;Otros Países
222,5391031;24,56595909;ÁFRICA;ÁFRICA;África
55,87541612;19,72508732;OCEANÍA;OCEANÍA;Oceanía
28,08737539;73,56880878;OTROS PAÍSES NEP;OTROS PAÍSES NEP;Otros Países Nep
-;204,5208942;Tráfico Postal Internacional y Correos Rápidos (8);Tráfico Postal Internacional y Correos Rápidos (8);Tráfico Postal Internacional Y Correos Rápidos
