Año;Periodo;Cifra
2020; 2 de septiembre;29.194
2020; 3 de septiembre;29.234
2020; 4 de septiembre;29.418
2020; 5 de septiembre;29.418
2020; 6 de septiembre;29.418
2020; 7 de septiembre;29.516
2020; 8 de septiembre;29.594
2020; 9 de septiembre;29.628
2020; 10 de septiembre;29.699
2020; 11 de septiembre;29.747
2020; 12 de septiembre;29.747
2020; 13 de septiembre;29.747
2020; 14 de septiembre;29.848
2020; 15 de septiembre;30.004
2020; 16 de septiembre;30.243
2020; 17 de septiembre;30.405
2020; 18 de septiembre;30.495
2020; 19 de septiembre;30.495
2020; 20 de septiembre;30.495
2020; 21 de septiembre;30.663
2020; 22 de septiembre;30.904
2020; 23 de septiembre;31.034
2020; 24 de septiembre;31.118
2020; 25 de septiembre;31.232
2020; 26 de septiembre;31.232
2020; 27 de septiembre;31.232
2020; 28 de septiembre;31.411
2020; 29 de septiembre;31.614
2020; 30 de septiembre;31.791
2020; 1 de octubre;31.973
2020; 2 de octubre;32.086
2020; 3 de octubre;32.086
2020; 4 de octubre;32.086
2020; 5 de octubre;32.225
2020; 6 de octubre;32.486
2020; 7 de octubre;32.562
2020; 8 de octubre;32.688
2020; 9 de octubre;32.929
2020; 10 de octubre;32.929
2020; 11 de octubre;32.929
2020; 12 de octubre;33.124
2020; 13 de octubre;33.204
2020; 14 de octubre;33.413
2020; 15 de octubre;33.553
2020; 16 de octubre;33.775
2020; 17 de octubre;33.775
2020; 18 de octubre;33.775
2020; 19 de octubre;33.992
2020; 20 de octubre;34.210
2020; 21 de octubre;34.366
2020; 22 de octubre;34.521
2020; 23 de octubre;34.752
2020; 24 de octubre;34.752
2020; 25 de octubre;34.752
2020; 26 de octubre;35.031
2020; 27 de octubre;35.298
2020; 28 de octubre;35.466
2020; 29 de octubre;35.639
2020; 30 de octubre;35.878
2020; 31 de octubre;35.878
2020; 1 de noviembre;35.878
2020; 2 de noviembre;36.257
2020; 3 de noviembre;36.495
2020; 4 de noviembre;38.118
2020; 5 de noviembre;38.486
2020; 6 de noviembre;38.833
2020; 7 de noviembre;38.833
2020; 8 de noviembre;38.833
2020; 9 de noviembre;39.345
2020; 10 de noviembre;39.756
2020; 11 de noviembre;40.105
2020; 12 de noviembre;40.461
2020; 13 de noviembre;40.769
2020; 14 de noviembre;40.769
2020; 15 de noviembre;40.769
2020; 16 de noviembre;41.253
2020; 17 de noviembre;41.688
2020; 18 de noviembre;42.039
2020; 19 de noviembre;42.291
2020; 20 de noviembre;42.619
2020; 21 de noviembre;42.619
2020; 22 de noviembre;42.619
2020; 23 de noviembre;43.131
2020; 24 de noviembre;43.668
2020; 25 de noviembre;44.037
2020; 26 de noviembre;44.374
2020; 27 de noviembre;44.668
2020; 28 de noviembre;44.668
2020; 29 de noviembre;44.668
2020; 30 de noviembre;45.069
2020; 1 de diciembre;45.511
2020; 2 de diciembre;45.784
2020; 3 de diciembre;46.038
2020; 4 de diciembre;46.252
2020; 5 de diciembre;46.252
2020; 6 de diciembre;46.252
2020; 7 de diciembre;46.646
2020; 8 de diciembre;46.646
2020; 9 de diciembre;47.019
2020; 10 de diciembre;47.344
2020; 11 de diciembre;47.624
2020; 12 de diciembre;47.624
2020; 13 de diciembre;47.624
2020; 14 de diciembre;48.013
2020; 15 de diciembre;48.401
2020; 16 de diciembre;48.596
2020; 17 de diciembre;48.777
2020; 18 de diciembre;48.926
2020; 19 de diciembre;48.926
2020; 20 de diciembre;48.926
2020; 21 de diciembre;49.260
2020; 22 de diciembre;49.520
2020; 23 de diciembre;49.698
2020; 24 de diciembre;49.824
2020; 25 de diciembre;49.824
2020; 26 de diciembre;49.824
2020; 27 de diciembre;49.824
2020; 28 de diciembre;50.122
2020; 29 de diciembre;50.442
2020; 30 de diciembre;50.689
2020; 31 de diciembre;50.837
2021;2021;50.837
2021; 2 de enero;50.837
2021; 3 de enero;50.837
2021; 4 de enero;51.078
2021; 5 de enero;51.430
2021; 6 de enero;51.430
2021; 7 de enero;51.675
2021; 8 de enero;51.874
2021; 9 de enero;51.874
2021; 10 de enero;51.874
2021; 11 de enero;52.275
2021; 12 de enero;52.683
2021; 13 de enero;52.878
2021; 14 de enero;53.079
2021; 15 de enero;53.314
2021; 16 de enero;53.314
2021; 17 de enero;53.314
2021; 18 de enero;53.769
2021; 19 de enero;54.173
2021; 20 de enero;54.637
2021; 21 de enero;55.041
2021; 22 de enero;55.441
2021; 23 de enero;55.441
2021; 24 de enero;55.441
